Variable Name,,,,Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Average | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency,Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Fiscal income  | equal-split adults | Share | Adults | share of total (ratio),Net personal wealth | equal-split adults | Share | Adults | share of total (ratio),Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio),Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Threshold | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency
,CN,1996,p99.3p100,95878.6983583,766005.918467,168262.285206,2.06672596931,2.6884226799,2.23372793198,0.0680791885,0.1488173157,0.0810303316,46391.5898438,284927.625,75328.015625
,CN,1996,p99.3p99.4,47435.9653528,297637.913641,77522.6834934,,,,0.0048117377,0.0082605993,0.0053332457,46391.5898438,284927.625,75328.015625
,CN,1996,p99.4p100,103952.487811,844067.287258,183385.557108,2.14240980148,2.71012401581,2.29455566406,0.0632674471,0.140556708,0.0756970793,48521.2890625,311449.6875,79922.03125
,CN,1996,p99.4p99.5,49706.0229472,328003.029993,82796.5182943,,,,0.0050420044,0.0091033485,0.0056960639,48521.2890625,311449.6875,79922.03125
,CN,1996,p99.5p100,114801.786725,947280.114949,203503.35596,2.25574851036,2.7356569767,2.3665869236,0.0582254492,0.1314533651,0.070001021,50892.9921875,346271.53125,85990.234375
,CN,1996,p99.5p99.6,53359.6137981,369003.61666,90116.5983247,,,,0.0054126116,0.0102412719,0.0061996556,50892.9921875,346271.53125,85990.234375
,CN,1996,p99.6p100,130162.329956,1091849.27665,231850.050938,2.32235980034,2.76654100418,2.44496369362,0.0528128371,0.121212095,0.0638013631,56047.4414062,394662.25,94827.609375
,CN,1996,p99.6p99.7,59173.6264489,428469.17454,100895.539342,,,,0.0060023647,0.0118916705,0.006941203,56047.4414062,394662.25,94827.609375
,CN,1996,p99.7p100,153825.231125,1312975.90805,275501.559754,2.45195794106,2.80540180206,2.54796075821,0.0468104742,0.1093204245,0.0568601638,62735.6757812,468017.0625,108126.296875
,CN,1996,p99.7p99.8,68539.6101297,525499.269653,119147.216604,,,,0.0069524171,0.0145846298,0.0081968447,62735.6757812,468017.0625,108126.296875
,CN,1996,p99.8p100,196468.041623,1706714.22724,353678.709053,2.5665037632,2.85736680031,2.65529417992,0.0398580544,0.0947357938,0.0486633144,76550.8515625,597303.1875,133197.5625
,CN,1996,p99.8p99.9,90821.2317227,726316.609911,159739.348768,,,,0.0092125861,0.0201580841,0.0109894183,76550.8515625,597303.1875,133197.5625
,CN,1996,p99.91p100,322462.73369,2880552.7368,585378.168104,2.61401963234,2.94424438477,2.72556138039,0.0294385384768,0.0719517916441,0.0362444743514,123358.960938,978367.375,214773.4375
,CN,1996,p99.91p99.92,127726.914599,1014856.01126,222551.581135,,,,0.00129561696667,0.00281661655754,0.00153106439393,123358.960938,978367.375,214773.4375
,CN,1996,p99.92p100,346804.70922,3113764.73839,630731.513752,2.61856555939,2.95472311974,2.73359394073,0.0281429197639,0.0691351816058,0.0347134135664,132440.71875,1053826.25,230733.4375
,CN,1996,p99.92p99.93,137343.409517,1098664.22783,240069.902641,,,,0.00139316322748,0.00304921669886,0.00165158335585,132440.71875,1053826.25,230733.4375
,CN,1996,p99.93p100,376727.762643,3401636.30779,686540.332313,2.64666080475,2.96572875977,2.74490213394,0.0267497561872,0.0660859644413,0.0330618284643,142340.78125,1146981.625,250114.6875
,CN,1996,p99.93p99.94,148172.183974,1203728.29614,262444.084779,,,,0.00150300655514,0.00334080983885,0.00180550862569,142340.78125,1146981.625,250114.6875
,CN,1996,p99.94p100,414820.351662,3767954.19092,757223.055086,2.65994930267,2.97720694542,2.74571537971,0.0252467505634,0.0627451464534,0.0312563180923,155950.46875,1265600.375,275783.53125
,CN,1996,p99.94p99.95,165244.135682,1340297.49405,292067.736581,,,,0.00167617842089,0.0037198420614,0.00200930726714,155950.46875,1265600.375,275783.53125
,CN,1996,p99.95p100,464735.591887,4253485.72039,850254.089085,2.63899230957,2.98897314072,2.73897457123,0.0235705729574,0.0590253099799,0.0292470119894,176103.421875,1423059.25,310427.875
,CN,1996,p99.95p99.96,189794.088409,1526942.44473,333827.787538,,,,0.00192520453129,0.00423785345629,0.00229659955949,176103.421875,1423059.25,310427.875
,CN,1996,p99.96p100,533470.956618,4935121.5096,979360.642194,2.60784888268,3.00051665306,2.71526837349,0.0216453671455,0.0547874569893,0.0269504133612,204563.59375,1644757.25,360686.5
,CN,1996,p99.96p99.97,226289.853932,1801661.49102,397085.320412,,,,0.00229540467262,0.00500030489638,0.00273178564385,204563.59375,1644757.25,360686.5
,CN,1996,p99.97p100,635864.647613,5979608.30128,1173452.49533,2.52377605438,3.01041412354,2.67049360275,0.0193499624729,0.0497871525586,0.024218628183,251949.703125,1986307.625,439414.09375
,CN,1996,p99.97p99.98,288412.987331,2258477.91004,504030.272474,,,,0.00292555987835,0.00626814644784,0.00346752349287,251949.703125,1986307.625,439414.09375
,CN,1996,p99.98p100,809590.477754,7840173.14047,1508163.54735,2.37220525742,3.01408147812,2.57348036766,0.0164244025946,0.0435190014541,0.0207511037588,341281.8125,2601181.5,586040.4375
,CN,1996,p99.98p99.99,421587.778775,3229635.77949,729666.878405,,,,0.00427643815055,0.00896348338574,0.00501981144771,341281.8125,2601181.5,586040.4375
,CN,1996,p99.991p100,1267683.45261,13354648.6675,2432266.05611,2.14081645012,2.98336029053,2.40421867371,0.0115730417892,0.0333578661084,0.0150597020984,592149.5,4476378,1011665.9375
,CN,1996,p99.991p99.992,611061.837148,4659409.21032,1050755.92894,,,,0.00061983964406,0.00129316560924,0.000722877390217,592149.5,4476378,1011665.9375
,CN,1996,p99.992p100,1349761.1991,14441553.5402,2604954.97052,2.11845612526,2.97444343567,2.38417124748,0.0109532028437,0.0320647023618,0.0143368244171,637143.8125,4855212,1092604
,CN,1996,p99.992p99.993,658827.860857,5081270.37129,1140112.34269,,,,0.000668291817419,0.00141024834011,0.000784350966569,637143.8125,4855212,1092604
,CN,1996,p99.993p100,1448465.95321,15778737.2574,2814218.16912,2.10016298294,2.96297597885,2.36274719238,0.0102849109098,0.0306544508785,0.013552473858,689692.1875,5325300.5,1191078.875
,CN,1996,p99.993p99.994,715702.703641,5612948.24486,1248810.57639,,,,0.000725983642042,0.00155780941714,0.000859130930621,689692.1875,5325300.5,1191078.875
,CN,1996,p99.994p100,1570593.18128,17473034.8717,3075119.35537,2.06027722359,2.94796013832,2.34456634521,0.00955892726779,0.0290966425091,0.0126933427528,762321.25,5927161,1311594.125
,CN,1996,p99.994p99.995,803805.313697,6307963.95985,1385543.13828,,,,0.000815351842903,0.00175070308615,0.000953197362833,762321.25,5927161,1311594.125
,CN,1996,p99.995p100,1723950.73103,19706050.0996,3413034.71759,2.00860500336,2.92778348923,2.32648706436,0.00874357484281,0.0273459404707,0.0117401452735,858282.5625,6730706,1467033.625
,CN,1996,p99.995p99.996,925126.295967,7263455.28306,1566726.6232,,,,0.000938415585551,0.00201588869095,0.00107784429565,858282.5625,6730706,1467033.625
,CN,1996,p99.996p100,1923656.8398,22816697.9721,3874611.74119,1.89208161831,2.89962005615,2.30910086632,0.00780515978113,0.0253300517797,0.0106623014435,1016688.0625,7868858,1677974.25
,CN,1996,p99.996p99.997,1104750.9915,8678319.46365,1822609.14919,,,,0.00112062052358,0.00240856804885,0.00125388102606,1016688.0625,7868858,1677974.25
,CN,1996,p99.997p100,2196625.57471,27529490.4914,4558612.56559,1.76869618893,2.8579249382,2.29106593132,0.00668453937396,0.0229214839637,0.00940842088312,1241946.25,9632685,1989734.375
,CN,1996,p99.997p99.998,1405067.92589,11044030.4404,2226080.99132,,,,0.00142525148112,0.0030651439447,0.00153145322111,1241946.25,9632685,1989734.375
,CN,1996,p99.998p100,2592404.33971,35772220.5169,5724878.35272,1.56506061554,2.78965163231,2.2762336731,0.00525928754359,0.0198563393205,0.00787696707994,1656424.25,12823186,2515066.25
,CN,1996,p99.998p99.999,2021465.88407,16084531.8157,3014476.0323,,,,0.00205050385557,0.0044640772976,0.00207383697852,1656424.25,12823186,2515066.25
,CN,1996,p99.99p99.991,566780.515637,4315268.43296,976206.410475,,,,0.000574922247324,0.00119765324052,0.000671590329148,549173.3125,4163588.75,943753.25
,CN,1996,p99.9p99.91,118983.874901,946145.121423,207777.10618,,,,0.00120693061035,0.00262591731735,0.00142942206003,114885.757812,915761.125,200991.40625
,CN,1996,p99p99.1,41787.4849671,239347.967512,67034.0551189,,,,0.00423877546564,0.00664282822981,0.00461167050526,41224.7734375,232373.375,65807.3359375
,CN,1995,p0p100,9491.31781561,32759.1120816,14083.9809987,1490.38000488,-2.31297969818,,1,1,1,6.36838769913,-14163.1650391,0
,CN,1995,p0p50,3693.53286203,10488.6468205,5442.93353124,,,,0.194574296474,0.160087481141,0.193231359124,6.36838769913,-14163.1650391,0
,CN,1995,p50p90,11544.6934942,35363.971306,16592.5667423,,,,0.4865370095,0.4318062365,0.4712465107,6305.96582031,23208.9433594,9437.76660156
,CN,1995,p99p100,78211.6313877,517503.871386,130827.074803,1.91668570042,2.65576219559,2.06111288071,0.0824033394456,0.157972499728,0.0928906872869,40805.6640625,194860.765625,63473.9960938
,CN,1995,p99.9p100,290067.309486,2313903.34446,509211.597317,2.62629270554,3.04598093033,2.72783398628,0.0305613316596,0.0706338882446,0.036155372858,110447.445312,759657.875,186672.5
,CN,1995,p99.99p100,1145358.2346,11046971.3202,2126264.77745,2.19682860374,3.10371756554,2.43076062202,0.012067431584,0.0337218269706,0.015097043477,521368.96875,3559270.75,874732.25
,CN,1995,p99.999p100,3048415.77893,50242438.116,7897601.45105,1.34001922607,2.68331336975,2.28533434868,0.00321179395542,0.0153369354084,0.00560750626028,2274904.5,18724030,3455775
,CN,1995,p0p10,1710.84650415,1080.29533942,1400.2170888,,,,0.0180253852159,0.00329769426025,0.00994191225618,6.36838769913,-14163.1650391,0
,CN,1995,p10p20,2877.86029949,6041.1524582,3947.04074341,,,,0.0303209777921,0.0184411369264,0.0280250366777,2431.23608398,3688.88696289,2701.23608398
,CN,1995,p20p30,3686.10909238,10728.0096362,5906.95719243,,,,0.0388366431,0.0327481702,0.041940961,3294.99804688,8564.51269531,5124.56396484
,CN,1995,p30p40,4553.65731805,14730.7733735,7289.0392629,,,,0.0479770824,0.044966951,0.0517541133,4098.32519531,12702.6611328,6612.91845703
,CN,1995,p40p50,5639.19045538,19863.0008605,8671.41195908,,,,0.0594142005,0.0606335178,0.0615693256,5041.90625,16858.8242188,7965.09130859
,CN,1995,p50p60,7276.42395454,23310.1190049,10559.0879304,,,,0.0766640007,0.0711561441,0.0749723241,6305.96582031,23208.9433594,9437.76660156
,CN,1995,p60p70,9759.22960923,29409.5498616,13514.7974761,,,,0.1028227061,0.0897751749,0.0959586427,8534.26464844,23872.5292969,11853.9072266
,CN,1995,p70p80,12776.4667181,37619.2595771,17836.0593069,,,,0.134612143,0.1148360223,0.126640752,11110.8369141,33002.4804688,15393.9238281
,CN,1995,p80p90,16366.6536947,51116.9547301,24460.3202057,,,,0.1724381596,0.1560388952,0.1736747622,14380.1464844,42868.1875,20641.8085938
,CN,1995,p90p100,30266.7408945,133691.998414,47254.878437,1.6141551733,2.19592642784,1.6282068491,0.3188887239,0.4081062973,0.3355221748,18750.8242188,60881.8203125,29022.6503906
,CN,1995,p0p1,419.503756439,-6058.29424909,161.880679795,,,,0.00044198683463,-0.00184934632853,0.000114939575724,6.36838769913,-14163.1650391,0
,CN,1995,p1p2,1097.57706121,259.769740867,461.840796897,,,,0.0011564011,7.92969E-05,0.0003279192,902.655456543,58.0569725037,314.620666504
,CN,1995,p2p3,1396.2596842,663.195299747,747.01493084,,,,0.0014710915,0.0002024461,0.0005304004,1265.07519531,461.482543945,606.961791992
,CN,1995,p3p4,1611.44636241,1066.62087464,1020.98078592,,,,0.0016978109,0.0003255952,0.0007249234,1510.01525879,864.908081055,885.08782959
,CN,1995,p4p5,1780.70879734,1470.04644954,1287.91062857,,,,0.0018761449,0.0004487443,0.0009144507,1705.75634766,1268.33361816,1155.28210449
,CN,1995,p5p6,1924.4179544,1873.47196037,1550.47480671,,,,0.0020275561,0.0005718934,0.0011008782,1853.75756836,1671.75915527,1419.90637207
,CN,1995,p6p7,2056.40443919,2276.89759934,1809.58171786,,,,0.0021666163,0.0006950425,0.001284851,1994.28662109,2075.18481445,1680.63903809
,CN,1995,p7p8,2169.15183551,2680.32298202,2066.26995169,,,,0.0022854065,0.0008181916,0.0014671065,2115.23071289,2478.61035156,1937.73413086
,CN,1995,p8p9,2273.95648771,3083.74862099,2321.19751658,,,,0.002395828,0.0009413408,0.0016481119,2221.71240234,2882.03588867,2194.18066406
,CN,1995,p9p10,2379.03920771,3487.17425996,2575.01934548,,,,0.00250654248521,0.00106448994484,0.00182833208237,2326.40673828,3285.46142578,2448.47265625
,CN,1995,p10p11,2481.82767612,3890.59964264,2827.6135755,,,,0.00261483993381,0.00118763896171,0.00200768071227,2431.23608398,3688.88696289,2701.23608398
,CN,1995,p11p12,2578.2669724,4294.02553789,3079.3267022,,,,0.0027164479,0.0013107882,0.0021864036,2531.34472656,4092.3125,2954.15991211
,CN,1995,p12p13,2668.4880575,4746.7763047,3330.22074623,,,,0.0028115043,0.0014489943,0.0023645451,2624.40234375,4495.73828125,3204.91601562
,CN,1995,p13p14,2754.05477451,5255.75622566,3580.44588982,,,,0.002901657,0.0016043647,0.0025422114,2711.14624023,5001.23681641,3456.00268555
,CN,1995,p14p15,2839.70375858,5764.796117,3830.14129503,,,,0.0029918961,0.0017597536,0.002719502,2797.00854492,5510.27636719,3705.36401367
,CN,1995,p15p16,2924.4626694,6273.83549578,4079.3659071,,,,0.0030811976,0.0019151422,0.0028964579,2882.21484375,6019.31591797,3954.51586914
,CN,1995,p16p17,3008.70850027,6782.87487456,4328.31885846,,,,0.0031699587,0.0020705308,0.0030732211,2966.61914062,6528.35546875,4203.6953125
,CN,1995,p17p18,3092.6391022,7291.9147659,4576.70029719,,,,0.0032583876,0.0022259196,0.0032495786,3050.81982422,7037.39453125,4452.40380859
,CN,1995,p18p19,3175.03379597,7800.95414468,4812.89442132,,,,0.003345198,0.0023813082,0.0034172826,3134.25708008,7546.43408203,4699.64453125
,CN,1995,p19p20,3255.41845677,8309.99301089,5025.37974129,,,,0.0034298908,0.0025366968,0.0035681529,3215.47949219,8055.47363281,4922.77197266
,CN,1995,p20p21,3334.01682024,8819.0334148,5217.05277536,,,,0.0035127017,0.0026920857,0.0037042459,3294.99804688,8564.51269531,5124.56396484
,CN,1995,p21p22,3410.8163285,9328.05690399,5391.53173666,,,,0.0035936174,0.0028474694,0.0038281304,3372.72485352,9073.55273438,5306.27685547
,CN,1995,p22p23,3487.64992249,9775.82551586,5552.63576475,,,,0.0036745686,0.0029841547,0.0039425185,3449.20361328,9580.703125,5474.21240234
,CN,1995,p23p24,3564.52964754,10166.0707409,5703.96667061,,,,0.0037555688,0.0031032804,0.0040499675,3526.02539062,9970.94824219,5629.5390625
,CN,1995,p24p25,3641.87017066,10556.315966,5850.09296728,,,,0.0038370544,0.0032224061,0.004153721,3603.11791992,10361.1923828,5777.6171875
,CN,1995,p25p26,3719.69378854,10946.5591408,5993.34888663,,,,0.0039190487,0.0033415311,0.0042554368,3680.67700195,10751.4375,5921.86767578
,CN,1995,p26p27,3799.16659197,11336.8043659,6134.98150509,,,,0.0040027811,0.0034606569,0.0043559996,3758.95092773,11141.6826172,6064.5859375
,CN,1995,p27p28,3881.61587417,11727.049591,6272.60994717,,,,0.0040896488,0.0035797826,0.0044537196,3839.89819336,11531.9267578,6204.89550781
,CN,1995,p28p29,3966.97448882,12085.5791968,6408.68633523,,,,0.0041795825,0.0036892269,0.0045503373,3923.78125,11922.171875,6340.75488281
,CN,1995,p29p30,4054.75805975,12538.8015256,6544.66482292,,,,0.0042720707,0.003827577,0.0046468857,4010.68798828,12312.4169922,6476.09765625
,CN,1995,p30p31,4140.19279066,12897.7832159,6680.60486805,,,,0.0043620844,0.0039371592,0.0047434065,4098.32519531,12702.6611328,6612.91845703
,CN,1995,p31p32,4224.81971537,13288.028441,6816.07078836,,,,0.0044512469,0.0040562847,0.0048395912,4181.54003906,13092.90625,6748.42626953
,CN,1995,p32p33,4314.86550243,13678.2736661,6951.16355961,,,,0.0045461184,0.0041754106,0.0049355105,4269.1015625,13483.1513672,6883.71435547
,CN,1995,p33p34,4409.46083756,14068.5957762,7086.38344758,,,,0.0046457835,0.0042945598,0.00503152,4361.41992188,13873.3955078,7018.56933594
,CN,1995,p34p35,4502.9198108,14482.2479033,7221.50799801,,,,0.0047442513,0.0044208304,0.0051274621,4456.87841797,14266.1953125,7153.85595703
,CN,1995,p35p36,4595.21371839,14914.352456,7356.56950265,,,,0.0048414916,0.0045527341,0.0052233594,4548.8828125,14698.2998047,7289.29248047
,CN,1995,p36p37,4689.34005436,15346.4570088,7491.66124877,,,,0.004940663,0.0046846378,0.0053192782,4641.89355469,15130.4042969,7424.35595703
,CN,1995,p37p38,4785.6745306,15778.5615615,7626.80066366,,,,0.0050421604,0.0048165414,0.0054152305,4737.11474609,15562.5097656,7559.13867188
,CN,1995,p38p39,4885.21972891,16210.6671394,7762.14920604,,,,0.0051470404,0.0049484456,0.0055113318,4834.66601562,15994.6142578,7694.51953125
,CN,1995,p39p40,4988.8664914,16642.770667,7897.48288396,,,,0.0052562421,0.0050803488,0.0056074224,4936.47363281,16426.71875,7829.44824219
,CN,1995,p40p41,5095.99922464,17074.8762448,8033.17843445,,,,0.0053691166,0.0052122525,0.0057037696,5041.90625,16858.8242188,7965.09130859
,CN,1995,p41p42,5205.78193124,17506.9807976,8169.58542847,,,,0.0054847831,0.0053441562,0.0058006225,5150.56640625,17290.9296875,8101.24560547
,CN,1995,p42p43,5318.77279706,17939.0874006,8306.75973586,,,,0.0056038299,0.0054760603,0.0058980198,5261.59814453,17723.0332031,8238.21777344
,CN,1995,p43p44,5436.90368858,18371.189903,8445.28260802,,,,0.0057282918,0.0056079635,0.0059963744,5376.86035156,18155.1386719,8375.73828125
,CN,1995,p44p45,5560.16127903,18803.296506,8585.46671106,,,,0.0058581554,0.0057398677,0.006095909,5497.73486328,18587.2441406,8515.16210938
,CN,1995,p45p46,5688.83978209,19607.2215368,8728.51811602,,,,0.0059937304,0.005985273,0.0061974796,5623.55908203,19019.3476562,8656.52441406
,CN,1995,p46p47,5820.29076211,21163.4909177,8875.70696488,,,,0.0061322264,0.0064603374,0.0063019875,5754.61425781,20455.6367188,8801.30957031
,CN,1995,p47p48,5950.00567641,22213.4400898,9028.47357196,,,,0.0062688929,0.0067808433,0.0064104558,5885.13574219,21773.7636719,8951.21777344
,CN,1995,p48p49,6084.99952216,22822.9401123,9187.91893201,,,,0.0064111217,0.0069668987,0.006523666,6015.4765625,22579.8730469,9107.05761719
,CN,1995,p49p50,6230.14886541,23127.4830463,9353.23318856,,,,0.0065640504,0.0070598628,0.0066410438,6156.07080078,23015.4492188,9269.86035156
,CN,1995,p50p51,6385.04672766,23246.2633606,9533.88961193,,,,0.0067272498,0.0070961216,0.0067693144,6305.96582031,23208.9433594,9437.76660156
,CN,1995,p51p52,6550.72849502,23274.9814858,9735.26503394,,,,0.0069018113,0.0071048881,0.0069122962,6466.02685547,23269.1015625,9633.6484375
,CN,1995,p52p53,6727.70365947,23277.1773245,9943.49553209,,,,0.0070882714,0.0071055582,0.0070601455,6637.46289062,23277.1542969,9838.609375
,CN,1995,p53p54,6912.36784718,23277.181425,10163.0127639,,,,0.0072828326,0.0071055596,0.0072160084,6819.65478516,23277.1796875,10050.0078125
,CN,1995,p54p55,7103.27766842,23277.181425,10395.7890888,,,,0.0074839741,0.0071055596,0.007381286,7006.34228516,23277.1796875,10277.9599609
,CN,1995,p55p56,7306.45015166,23277.181425,10638.1688761,,,,0.0076980353,0.0071055596,0.0075533818,7202.36523438,23277.1796875,10515.9199219
,CN,1995,p56p57,7525.68854687,23277.181425,10891.1465065,,,,0.0079290243,0.0071055596,0.0077330028,7413.35839844,23277.1796875,10762.4189453
,CN,1995,p57p58,7772.06584714,23277.181425,11154.0412906,,,,0.0081886053,0.0071055596,0.0079196654,7640.68505859,23277.1796875,11021.4091797
,CN,1995,p58p59,8071.56614325,23336.8832232,11426.6482014,,,,0.0085041579,0.0071237842,0.0081132231,7915.75585938,23277.1796875,11288.7255859
,CN,1995,p59p60,8409.34292103,23579.9734288,11709.424449,,,,0.0088600377,0.0071979896,0.0083140023,8240.89648438,23369.3867188,11566.5654297
,CN,1995,p60p61,8627.50441217,24338.2676612,12002.4520443,,,,0.0090898909,0.0074294652,0.0085220588,8534.26464844,23872.5292969,11853.9072266
,CN,1995,p61p62,8845.10771742,25592.9628984,12306.5890249,,,,0.0093191564,0.0078124716,0.0087380046,8727.90234375,24889.8769531,12152.5908203
,CN,1995,p62p63,9089.30301836,27172.096885,12621.3792059,,,,0.0095764399,0.0082945162,0.0089615136,8965.16601562,26354.3554688,12461.8759766
,CN,1995,p63p64,9343.9444425,28658.8805816,12948.1337348,,,,0.0098447278,0.0087483693,0.0091935182,9215.74316406,27978.1523438,12783.3447266
,CN,1995,p64p65,9613.82039431,29752.0186812,13286.7706006,,,,0.010129068,0.0090820594,0.0094339596,9477.01464844,29256.7207031,13115.53125
,CN,1995,p65p66,9883.45748973,30588.0283797,13638.1785953,,,,0.0104131559,0.0093372585,0.0096834684,9749.02734375,30206.1386719,13460.3623047
,CN,1995,p66p67,10148.4025433,31238.9376956,14003.279315,,,,0.0106923012,0.0095359543,0.0099427002,10018.4345703,30939.0097656,13818.8330078
,CN,1995,p67p68,10405.4017774,31769.7442733,14381.8882354,,,,0.0109630739,0.0096979877,0.0102115218,10275.7431641,31518.8203125,14189.7460938
,CN,1995,p68p69,10676.1183397,32247.2069386,14775.0981502,,,,0.0112482989,0.0098437369,0.0104907118,10538.78125,32011.7871094,14574.9013672
,CN,1995,p69p70,10959.233907,32737.3648728,15184.2079051,,,,0.0115465885,0.0099933622,0.0107811904,10814.8515625,32484.8066406,14977.0605469
,CN,1995,p70p71,11275.7534904,33301.9496409,15609.4071501,,,,0.0118800718,0.0101657063,0.0110830935,11110.8369141,33002.4804688,15393.9238281
,CN,1995,p71p72,11619.7097805,33993.101647,16051.2925136,,,,0.0122424625,0.0103766862,0.011396843,11444.6113281,33622.7929688,15826.4111328
,CN,1995,p72p73,11967.571834,34845.6631713,16511.6190263,,,,0.0126089677,0.0106369378,0.0117236879,11795.8300781,34390.7695312,16278.4931641
,CN,1995,p73p74,12304.5305543,35866.0987136,16990.43897,,,,0.0129639851,0.0109484345,0.0120636625,12135.5898438,35329.2578125,16746.8496094
,CN,1995,p74p75,12644.0346841,37016.6279576,17488.9589285,,,,0.0133216847,0.0112996437,0.0124176247,12475.4990234,36425.7109375,17236.3691406
,CN,1995,p75p76,12971.1070048,38193.2325293,18008.771961,,,,0.0136662871,0.0116588119,0.012786706,12810.4375,37613.4179688,17745.0292969
,CN,1995,p76p77,13287.9002991,39259.2906691,18551.371689,,,,0.0140000582,0.0119842356,0.0131719662,13131.0761719,38749.390625,18277.4863281
,CN,1995,p77p78,13593.4427395,40231.5530788,19116.8893297,,,,0.0143219763,0.0122810276,0.0135734985,13443.2695312,39753.203125,18830.4824219
,CN,1995,p78p79,13887.962931,41206.4398335,19707.2295834,,,,0.0146322809,0.0125786196,0.013992656,13740.2216797,40710.3828125,19407.9550781
,CN,1995,p79p80,14212.6538635,42278.6446812,20324.6169927,,,,0.0149743734,0.0129059199,0.0144310175,14046.6611328,41718.9648438,20011.9003906
,CN,1995,p80p81,14550.8591476,43526.3895048,20969.9311231,,,,0.0153307049,0.0132868048,0.0148892077,14380.1464844,42868.1875,20641.8085938
,CN,1995,p81p82,14900.172792,44989.2445058,21645.8619283,,,,0.0156987403,0.0137333535,0.0153691359,14723.1650391,44221.6484375,21302.7578125
,CN,1995,p82p83,15273.8087837,46630.9609193,22353.5206543,,,,0.016092401,0.0142345019,0.0158715919,15083.4423828,45788.8476562,21992.7636719
,CN,1995,p83p84,15665.7506068,48288.3085876,23096.4358149,,,,0.0165053476,0.0147404214,0.0163990818,15466.8945312,47477.7773438,22720.4277344
,CN,1995,p84p85,16075.0940925,49839.4604958,23875.9646887,,,,0.01693663,0.0152139235,0.0169525687,15867.3955078,49072.4375,23478.3066406
,CN,1995,p85p86,16514.1705867,51450.9600371,24697.1693909,,,,0.0173992384,0.0157058481,0.0175356455,16287.515625,50616.953125,24281.3710938
,CN,1995,p86p87,16955.5936144,53315.8564889,25558.7172466,,,,0.0178643204,0.0162751228,0.018147368,16740.0371094,52329.046875,25122.265625
,CN,1995,p87p88,17397.715784,55503.3546486,26477.2666954,,,,0.0183301382,0.0169428755,0.018799562,17172.1777344,54361.2539062,26009.5078125
,CN,1995,p88p89,17885.2883283,57781.5977373,27448.4527136,,,,0.0188438408,0.0176383294,0.01948913,17630.6152344,56669.0429688,26952.2753906
,CN,1995,p89p90,18448.0832111,59843.4225766,28479.8900022,,,,0.019436799,0.0182677191,0.0202214774,18155.4765625,58833.859375,27953.0820312
,CN,1995,p90p91,19072.1421974,62083.2026091,29593.7604272,,,,0.0200943034,0.0189514309,0.0210123546,18750.8242188,60881.8203125,29022.6503906
,CN,1995,p91p92,19759.7123826,65081.102601,30803.3087296,,,,0.0208187234,0.0198665652,0.0218711663,19403.8808594,63416.1992188,30180.4921875
,CN,1995,p92p93,20644.4815908,69067.5031373,32139.4816775,,,,0.0217509121,0.0210834481,0.0228198841,20134.4101562,66922.515625,31445.7871094
,CN,1995,p93p94,21940.9223658,74031.1892435,33652.531377,,,,0.0231168345,0.0225986559,0.0238941889,21219.7207031,71365.578125,32857.3632812
,CN,1995,p94p95,23493.1424644,80353.7857868,35440.2946391,,,,0.0247522444,0.0245286841,0.0251635499,22696.9453125,76918.265625,34488.7617188
,CN,1995,p95p96,25345.4789651,88790.3414226,37710.3858562,,,,0.0267038569,0.0271040145,0.026775375,24368.4335938,84130.640625,36474.2773438
,CN,1995,p96p97,27392.6361762,100849.780708,40848.3930661,,,,0.0288607311,0.0307852626,0.0290034432,26345.4316406,94025.3671875,39078.1367188
,CN,1995,p97p98,30567.1525354,120156.889943,46016.4459376,,,,0.0322053842,0.0366789214,0.032672897,28594.6738281,108785.59375,42946.9179688
,CN,1995,p98p99,36240.0965779,159002.305006,55517.095555,,,,0.0381823666,0.0485368185,0.0394186117,32868.8789062,134244.1875,49718.3828125
,CN,1995,p1p100,9582.95256155,33151.2056247,14224.60796,10.6164016724,571.01159668,45.211933136,0.9995580316,1.0018495321,0.9998850822,902.655456543,58.0569725037,314.620666504
,CN,1995,p2p100,9669.53749366,33486.8326949,14365.0442462,7.64344882965,72.5635986328,23.667131424,0.9984015822,1.0017702579,0.9995571375,1265.07519531,461.482543945,606.961791992
,CN,1995,p3p100,9754.8287057,33825.2214781,14505.4364516,6.46008634567,39.1084594727,16.3886966705,0.99693048,1.0015677214,0.9990267158,1510.01525879,864.908081055,885.08782959
,CN,1995,p4p100,9839.65655683,34166.4560354,14645.8993913,5.7685008049,26.9380664825,12.6773357391,0.9952327609,1.0012420416,0.9983018041,1705.75634766,1268.33361816,1155.28210449
,CN,1995,p5p100,9924.48748336,34510.628629,14786.5099504,5.35371398926,20.6433010101,10.4137220383,0.9933565855,1.0007932186,0.9973873496,1853.75756836,1671.75915527,1419.90637207
